entidad,anio,viviendas_registradas,indice_valor_uma,inpc_nacional,tasa_objetivo,cetes_91d,inflacion_subyacente_anual
YUCATAN,2019,5201,185.0428764,103.9006667,7.917884615,3.4825,8.104302789
YUCATAN,2020,7306,171.5513961,107.43,5.287692308,2.300833333,5.498134921
YUCATAN,2021,10815,187.7203883,113.5419167,4.640769231,8.849166667,4.40541502
YUCATAN,2022,4490,179.2545657,122.5075,8.278269231,8.866666667,7.656547619
YUCATAN,2023,4920,187.2789634,129.2796667,11.35519231,1.993333333,11.1487251
YUCATAN,2024,6463,191.6769302,135.3845833,10.85283019,6.538333333,10.89749004
YUCATAN,2025,22242,175.3395828,140.5421667,8.154038462,2.839166667,8.410278884
ZACATECAS,2016,1803,158.1491958,90.12791667,4.358076923,2.350833333,4.16297619
ZACATECAS,2017,1708,167.6560304,95.573,6.883076923,10.29916667,6.711513944
ZACATECAS,2018,2433,165.3791615,100.2553333,7.841320755,8.175833333,7.694342629
ZACATECAS,2019,2353,174.1102847,103.9006667,7.917884615,3.4825,8.104302789
ZACATECAS,2020,2251,184.7478898,107.43,5.287692308,2.300833333,5.498134921
ZACATECAS,2021,2940,191.7006803,113.5419167,4.640769231,8.849166667,4.40541502
ZACATECAS,2022,974,195.5616016,122.5075,8.278269231,8.866666667,7.656547619
ZACATECAS,2023,803,195.4682441,129.2796667,11.35519231,1.993333333,11.1487251
ZACATECAS,2024,965,195.9352332,135.3845833,10.85283019,6.538333333,10.89749004
ZACATECAS,2025,3071,178.269619,140.5421667,8.154038462,2.839166667,8.410278884
