entidad,anio,viviendas_registradas,indice_valor_uma,inpc_nacional,tasa_objetivo,cetes_91d,inflacion_subyacente_anual
CHIHUAHUA,2025,8174,190.8947884,140.5421667,8.154038462,2.839166667,8.410278884
CIUDAD DE MEXICO,2016,8961,199.4339917,90.12791667,4.358076923,2.350833333,4.16297619
CIUDAD DE MEXICO,2017,8163,199.6100086,95.573,6.883076923,10.29916667,6.711513944
CIUDAD DE MEXICO,2018,10857,199.9781708,100.2553333,7.841320755,8.175833333,7.694342629
CIUDAD DE MEXICO,2019,4449,199.9617892,103.9006667,7.917884615,3.4825,8.104302789
CIUDAD DE MEXICO,2020,4118,199.9632103,107.43,5.287692308,2.300833333,5.498134921
CIUDAD DE MEXICO,2021,5496,199.9381368,113.5419167,4.640769231,8.849166667,4.40541502
CIUDAD DE MEXICO,2022,3924,200,122.5075,8.278269231,8.866666667,7.656547619
CIUDAD DE MEXICO,2023,4691,200,129.2796667,11.35519231,1.993333333,11.1487251
CIUDAD DE MEXICO,2024,3232,196.5725557,135.3845833,10.85283019,6.538333333,10.89749004
CIUDAD DE MEXICO,2025,4123,197.0897405,140.5421667,8.154038462,2.839166667,8.410278884
COAHUILA DE ZARAGOZA,2016,11128,171.1350647,90.12791667,4.358076923,2.350833333,4.16297619
COAHUILA DE ZARAGOZA,2017,10966,172.8592924,95.573,6.883076923,10.29916667,6.711513944
COAHUILA DE ZARAGOZA,2018,11975,172.5650522,100.2553333,7.841320755,8.175833333,7.694342629
COAHUILA DE ZARAGOZA,2019,7660,178.3429504,103.9006667,7.917884615,3.4825,8.104302789
COAHUILA DE ZARAGOZA,2020,7570,179.8849406,107.43,5.287692308,2.300833333,5.498134921
COAHUILA DE ZARAGOZA,2021,12393,180.2906883,113.5419167,4.640769231,8.849166667,4.40541502
COAHUILA DE ZARAGOZA,2022,6088,191.241705,122.5075,8.278269231,8.866666667,7.656547619
COAHUILA DE ZARAGOZA,2023,6630,185.1662142,129.2796667,11.35519231,1.993333333,11.1487251
COAHUILA DE ZARAGOZA,2024,8420,181.6302257,135.3845833,10.85283019,6.538333333,10.89749004
COAHUILA DE ZARAGOZA,2025,13415,183.3081625,140.5421667,8.154038462,2.839166667,8.410278884
COLIMA,2016,3629,177.7408377,90.12791667,4.358076923,2.350833333,4.16297619
COLIMA,2017,4074,178.7566274,95.573,6.883076923,10.29916667,6.711513944
COLIMA,2018,2811,183.445571,100.2553333,7.841320755,8.175833333,7.694342629
COLIMA,2019,2086,189.4256951,103.9006667,7.917884615,3.4825,8.104302789
COLIMA,2020,2248,181.3607651,107.43,5.287692308,2.300833333,5.498134921
COLIMA,2021,2141,191.8489024,113.5419167,4.640769231,8.849166667,4.40541502
COLIMA,2022,1783,193.064498,122.5075,8.278269231,8.866666667,7.656547619
COLIMA,2023,1977,191.7448154,129.2796667,11.35519231,1.993333333,11.1487251
COLIMA,2024,1580,193.1186709,135.3845833,10.85283019,6.538333333,10.89749004
COLIMA,2025,3562,182.285233,140.5421667,8.154038462,2.839166667,8.410278884
DURANGO,2016,2998,155.1365911,90.12791667,4.358076923,2.350833333,4.16297619
DURANGO,2017,1953,173.6390169,95.573,6.883076923,10.29916667,6.711513944
DURANGO,2018,3851,149.8164113,100.2553333,7.841320755,8.175833333,7.694342629
DURANGO,2019,2743,167.579475,103.9006667,7.917884615,3.4825,8.104302789
DURANGO,2020,3031,163.1732102,107.43,5.287692308,2.300833333,5.498134921
DURANGO,2021,3396,166.9387515,113.5419167,4.640769231,8.849166667,4.40541502
DURANGO,2022,2545,173.5954813,122.5075,8.278269231,8.866666667,7.656547619
DURANGO,2023,3854,142.984302,129.2796667,11.35519231,1.993333333,11.1487251
DURANGO,2024,3503,157.6307451,135.3845833,10.85283019,6.538333333,10.89749004
DURANGO,2025,2912,171.334478,140.5421667,8.154038462,2.839166667,8.410278884
GUANAJUATO,2016,21063,177.6474624,90.12791667,4.358076923,2.350833333,4.16297619
GUANAJUATO,2017,13072,184.6797736,95.573,6.883076923,10.29916667,6.711513944
GUANAJUATO,2018,14772,180.5740252,100.2553333,7.841320755,8.175833333,7.694342629
GUANAJUATO,2019,13351,182.81889,103.9006667,7.917884615,3.4825,8.104302789
GUANAJUATO,2020,10243,183.0140584,107.43,5.287692308,2.300833333,5.498134921
GUANAJUATO,2021,14780,187.8369756,113.5419167,4.640769231,8.849166667,4.40541502
GUANAJUATO,2022,7144,190.4767637,122.5075,8.278269231,8.866666667,7.656547619
GUANAJUATO,2023,8781,187.9571803,129.2796667,11.35519231,1.993333333,11.1487251
GUANAJUATO,2024,13055,181.7451934,135.3845833,10.85283019,6.538333333,10.89749004
GUANAJUATO,2025,13199,185.8384726,140.5421667,8.154038462,2.839166667,8.410278884
GUERRERO,2016,2918,181.8630912,90.12791667,4.358076923,2.350833333,4.16297619
GUERRERO,2017,1567,195.8982131,95.573,6.883076923,10.29916667,6.711513944
